tutor_id,subject,experience_years,price_per_hour,location,teaching_level
1,Chemistry,10,573,CityB,Advanced
2,Maths,7,679,CityC,Intermediate
3,Physics,4,367,CityA,Beginner
4,Biology,5,508,CityA,Advanced
5,Biology,5,693,CityA,Beginner
6,English,6,427,CityC,Advanced
7,Physics,6,573,CityC,Advanced
8,Physics,1,682,CityC,Intermediate
9,Chemistry,6,552,CityC,Beginner
10,Biology,9,626,CityA,Advanced
11,Chemistry,5,712,CityA,Beginner
12,Chemistry,10,356,CityA,Intermediate
13,English,2,303,CityB,Advanced
14,Physics,6,260,CityA,Intermediate
15,Chemistry,7,294,CityB,Intermediate
16,Maths,9,303,CityA,Beginner
17,English,3,745,CityB,Intermediate
18,Physics,2,681,CityC,Intermediate
19,Biology,6,767,CityA,Advanced
20,Physics,2,672,CityC,Intermediate
21,English,5,689,CityA,Beginner
22,Physics,9,436,CityC,Advanced
23,Physics,1,645,CityA,Advanced
24,English,1,564,CityC,Intermediate
25,Biology,2,478,CityC,Beginner
26,English,5,503,CityA,Beginner
27,Biology,10,280,CityA,Intermediate
28,Physics,2,642,CityC,Advanced
29,English,5,276,CityA,Advanced
30,Physics,7,636,CityB,Intermediate
31,Biology,6,525,CityA,Beginner
32,Maths,3,721,CityB,Intermediate
33,English,5,508,CityA,Advanced
34,English,5,420,CityB,Advanced
35,Chemistry,2,528,CityB,Beginner
36,Maths,2,573,CityC,Intermediate
37,English,10,605,CityA,Advanced
38,Maths,4,540,CityB,Advanced
39,Maths,7,431,CityC,Beginner
40,Biology,7,444,CityA,Intermediate
41,Chemistry,2,235,CityA,Beginner
42,Chemistry,4,247,CityA,Advanced
43,Physics,3,723,CityA,Advanced
44,English,10,481,CityC,Intermediate
45,Physics,3,274,CityB,Advanced
46,Physics,8,725,CityA,Beginner
47,Biology,8,436,CityA,Beginner
48,Maths,9,621,CityB,Beginner
49,Chemistry,5,344,CityB,Intermediate
50,Biology,8,597,CityB,Intermediate
